"Lambda","pval_D","pval_V"
0.1,0.01,0.01
0.2,0.01,0.01
0.3,0.01,0.01
0.4,0.01,0.01
0.5,0.01,0.01
0.6,0.01,0.01
0.7,0.01,0.01
0.8,0.01,0.01
0.9,0.01,0.01
1,0.01,0.01
1.1,0.01,0.01
1.2,0.01,0.01
1.3,0.01,0.01
1.4,0.01,0.01
1.5,0.01,0.01
1.6,0.01,0.01
1.7,0.01,0.01
1.8,0.01,0.01
1.9,0.01,0.01
2,0.01,0.01
2.1,0.01,0.01
2.2,0.01,0.01
2.3,0.01,0.01
2.4,0.01,0.01
2.5,0.01,0.01
2.6,0.01,0.01
2.7,0.01,0.01
2.8,0.01,0.01
2.9,0.01,0.01
3,0.01,0.01
3.1,0.01,0.01
3.2,0.01,0.01
3.3,0.01,0.01
3.4,0.01,0.01
3.5,0.01,0.01
3.6,0.01,0.01
3.7,0.01,0.01
3.8,0.01,0.01
3.9,0.01,0.01
4,0.01,0.01
4.1,0.01,0.01
4.2,0.01,0.01
4.3,0.01,0.01
4.4,0.01,0.01
4.5,0.01,0.01
4.6,0.01,0.01
4.7,0.01,0.01
4.8,0.01,0.01
4.9,0.01,0.01
5,0.03,0.02
5.1,0.04,0.06
5.2,0.1,0.1
5.3,0.33,0.33
5.4,0.48,0.55
5.5,0.78,0.71
5.6,0.98,0.97
5.7,0.77,0.76
5.8,0.42,0.47
5.9,0.27,0.29
6,0.15,0.16
6.1,0.09,0.04
6.2,0.05,0.05
6.3,0.01,0.04
6.4,0.01,0.01
6.5,0.01,0.01
6.6,0.01,0.01
6.7,0.01,0.01
6.8,0.01,0.01
6.9,0.01,0.01
7,0.01,0.01
