"gamma","rep","p_value","decision"
0,1,0.75,0
0,2,0.1,0
0,3,0.02,1
0,4,0.79,0
0,5,0.4,0
0,6,0.43,0
0,7,0.97,0
0,8,0.64,0
0,9,0.1,0
0,10,0.16,0
0,11,0.09,0
0,12,0.48,0
0,13,0.88,0
0,14,0.52,0
0,15,0.23,0
0,16,0.26,0
0,17,0.65,0
0,18,0.02,1
0,19,0.05,0
0,20,0.66,0
0,21,0.26,0
0,22,0.72,0
0,23,0.2,0
0,24,0.76,0
0,25,0.81,0
0,26,0.94,0
0,27,0.32,0
0,28,0.66,0
0,29,0.2,0
0,30,0.45,0
0,31,0.03,1
0,32,0.59,0
0,33,0.81,0
0,34,0.66,0
0,35,0.72,0
0,36,0.58,0
0,37,0.01,1
0,38,0.37,0
0,39,0.5,0
0,40,0.01,1
0,41,0.06,0
0,42,0.44,0
0,43,0.1,0
0,44,0.77,0
0,45,0.13,0
0,46,0.84,0
0,47,0.09,0
0,48,0.05,0
0,49,0.45,0
0,50,0.43,0
0,51,0.47,0
0,52,0.81,0
0,53,0.08,0
0,54,0.11,0
0,55,0.85,0
0,56,1,0
0,57,0.33,0
0,58,0.31,0
0,59,0.48,0
0,60,0.13,0
0,61,0.94,0
0,62,0.42,0
0,63,0.22,0
0,64,0.7,0
0,65,0.28,0
0,66,0.92,0
0,67,0.33,0
0,68,0.24,0
0,69,0.83,0
0,70,0.81,0
0,71,0.75,0
0,72,0.25,0
0,73,0.22,0
0,74,0.35,0
0,75,0.23,0
0,76,0.23,0
0,77,0.92,0
0,78,0.15,0
0,79,0.33,0
0,80,0.83,0
0,81,0.95,0
0,82,0.61,0
0,83,0.05,0
0,84,0.89,0
0,85,0.79,0
0,86,0.84,0
0,87,0.2,0
0,88,0.13,0
0,89,0.07,0
0,90,0.96,0
0,91,0.84,0
0,92,0.24,0
0,93,0.19,0
0,94,0.48,0
0,95,0.71,0
0,96,0.32,0
0,97,0.53,0
0,98,0.61,0
0,99,0.52,0
0,100,0.11,0
0.25,1,0.81,0
0.25,2,0.53,0
0.25,3,0.46,0
0.25,4,0.64,0
0.25,5,0.05,0
0.25,6,0.44,0
0.25,7,0.15,0
0.25,8,0.6,0
0.25,9,0.07,0
0.25,10,0.07,0
0.25,11,0.49,0
0.25,12,1,0
0.25,13,0.47,0
0.25,14,0.34,0
0.25,15,0.07,0
0.25,16,0.74,0
0.25,17,0.92,0
0.25,18,0.1,0
0.25,19,0.61,0
0.25,20,0.85,0
0.25,21,0.7,0
0.25,22,0.03,1
0.25,23,0.38,0
0.25,24,0.04,1
0.25,25,0.12,0
0.25,26,0.26,0
0.25,27,0.07,0
0.25,28,0.42,0
0.25,29,0.32,0
0.25,30,0.2,0
0.25,31,0.14,0
0.25,32,0.96,0
0.25,33,0.47,0
0.25,34,0.18,0
0.25,35,0.28,0
0.25,36,0.19,0
0.25,37,0.37,0
0.25,38,0.12,0
0.25,39,0.82,0
0.25,40,0.89,0
0.25,41,0.16,0
0.25,42,0.08,0
0.25,43,0.05,0
0.25,44,0.36,0
0.25,45,0.34,0
0.25,46,0.76,0
0.25,47,0.12,0
0.25,48,0.36,0
0.25,49,0.17,0
0.25,50,0.23,0
0.25,51,0.48,0
0.25,52,1,0
0.25,53,0.05,0
0.25,54,0.71,0
0.25,55,0.83,0
0.25,56,0.27,0
0.25,57,0.51,0
0.25,58,0.82,0
0.25,59,0.22,0
0.25,60,0.27,0
0.25,61,0.13,0
0.25,62,0.16,0
0.25,63,0.59,0
0.25,64,0.03,1
0.25,65,0.34,0
0.25,66,0.32,0
0.25,67,0.06,0
0.25,68,0.04,1
0.25,69,0.56,0
0.25,70,0.09,0
0.25,71,0.44,0
0.25,72,0.18,0
0.25,73,0.12,0
0.25,74,0.63,0
0.25,75,0.93,0
0.25,76,0.57,0
0.25,77,0.24,0
0.25,78,0.24,0
0.25,79,0.73,0
0.25,80,0.76,0
0.25,81,0.11,0
0.25,82,0.31,0
0.25,83,0.57,0
0.25,84,0.63,0
0.25,85,0.09,0
0.25,86,0.28,0
0.25,87,0.07,0
0.25,88,0.98,0
0.25,89,0.74,0
0.25,90,0.49,0
0.25,91,0.82,0
0.25,92,0.62,0
0.25,93,0.14,0
0.25,94,0.17,0
0.25,95,0.05,0
0.25,96,0.54,0
0.25,97,0.45,0
0.25,98,0.38,0
0.25,99,0.89,0
0.25,100,0.91,0
0.5,1,0.83,0
0.5,2,0.08,0
0.5,3,0.81,0
0.5,4,0.44,0
0.5,5,0.04,1
0.5,6,0.03,1
0.5,7,0.95,0
0.5,8,0.39,0
0.5,9,0.17,0
0.5,10,0.39,0
0.5,11,0.11,0
0.5,12,0.07,0
0.5,13,0.3,0
0.5,14,0.27,0
0.5,15,0.67,0
0.5,16,0.05,0
0.5,17,0.64,0
0.5,18,0.52,0
0.5,19,0.22,0
0.5,20,0.13,0
0.5,21,0.35,0
0.5,22,0.25,0
0.5,23,0.1,0
0.5,24,0.28,0
0.5,25,0.12,0
0.5,26,0.43,0
0.5,27,0.03,1
0.5,28,0.07,0
0.5,29,0.5,0
0.5,30,0.3,0
0.5,31,0.15,0
0.5,32,0.18,0
0.5,33,0.76,0
0.5,34,0.32,0
0.5,35,0.26,0
0.5,36,0.18,0
0.5,37,0.16,0
0.5,38,0.34,0
0.5,39,0.08,0
0.5,40,0.04,1
0.5,41,0.2,0
0.5,42,0.22,0
0.5,43,0.12,0
0.5,44,0.71,0
0.5,45,0.71,0
0.5,46,0.2,0
0.5,47,0.23,0
0.5,48,0.02,1
0.5,49,0.78,0
0.5,50,0.03,1
0.5,51,0.53,0
0.5,52,0.09,0
0.5,53,0.59,0
0.5,54,0.26,0
0.5,55,0.14,0
0.5,56,0.05,0
0.5,57,0.64,0
0.5,58,0.72,0
0.5,59,0.15,0
0.5,60,0.29,0
0.5,61,0.78,0
0.5,62,0.14,0
0.5,63,0.2,0
0.5,64,0.77,0
0.5,65,0.47,0
0.5,66,0.11,0
0.5,67,0.03,1
0.5,68,0.41,0
0.5,69,0.16,0
0.5,70,0.27,0
0.5,71,0.13,0
0.5,72,0.64,0
0.5,73,0.72,0
0.5,74,0.18,0
0.5,75,0.24,0
0.5,76,0.06,0
0.5,77,0.03,1
0.5,78,0.36,0
0.5,79,0.54,0
0.5,80,0.16,0
0.5,81,0.15,0
0.5,82,0.48,0
0.5,83,0.14,0
0.5,84,0.16,0
0.5,85,0.21,0
0.5,86,0.28,0
0.5,87,0.22,0
0.5,88,0.01,1
0.5,89,0.05,0
0.5,90,0.03,1
0.5,91,0.08,0
0.5,92,0.05,0
0.5,93,0.11,0
0.5,94,0.18,0
0.5,95,0.42,0
0.5,96,0.61,0
0.5,97,0.62,0
0.5,98,0.46,0
0.5,99,0.59,0
0.5,100,0.11,0
1,1,0.02,1
1,2,0.07,0
1,3,0.02,1
1,4,0.05,0
1,5,0.06,0
1,6,0.1,0
1,7,0.5,0
1,8,0.77,0
1,9,0.03,1
1,10,0.1,0
1,11,0.02,1
1,12,0.6,0
1,13,0.39,0
1,14,0.11,0
1,15,0.42,0
1,16,0.14,0
1,17,0.75,0
1,18,0.1,0
1,19,0.07,0
1,20,0.1,0
1,21,0.06,0
1,22,0.58,0
1,23,0.1,0
1,24,0.21,0
1,25,0.27,0
1,26,0.01,1
1,27,0.02,1
1,28,0.22,0
1,29,0.17,0
1,30,0.6,0
1,31,0.05,0
1,32,0.15,0
1,33,0.12,0
1,34,0.06,0
1,35,0.16,0
1,36,0.03,1
1,37,0.31,0
1,38,0.01,1
1,39,0.01,1
1,40,0.04,1
1,41,0.05,0
1,42,0.2,0
1,43,0.09,0
1,44,0.18,0
1,45,0.07,0
1,46,0.12,0
1,47,0.16,0
1,48,0.02,1
1,49,0.04,1
1,50,0.13,0
1,51,0.25,0
1,52,0.45,0
1,53,0.02,1
1,54,0.01,1
1,55,0.02,1
1,56,0.25,0
1,57,0.02,1
1,58,0.02,1
1,59,0.03,1
1,60,0.15,0
1,61,0.01,1
1,62,0.01,1
1,63,0.05,0
1,64,0.03,1
1,65,0.01,1
1,66,0.21,0
1,67,0.03,1
1,68,0.04,1
1,69,0.15,0
1,70,0.14,0
1,71,0.01,1
1,72,0.43,0
1,73,0.01,1
1,74,0.04,1
1,75,0.02,1
1,76,0.37,0
1,77,0.17,0
1,78,0.02,1
1,79,0.24,0
1,80,0.07,0
1,81,0.05,0
1,82,0.68,0
1,83,0.02,1
1,84,0.16,0
1,85,0.25,0
1,86,0.1,0
1,87,0.02,1
1,88,0.14,0
1,89,0.01,1
1,90,0.17,0
1,91,0.19,0
1,92,0.11,0
1,93,0.17,0
1,94,0.08,0
1,95,0.56,0
1,96,0.12,0
1,97,0.04,1
1,98,0.4,0
1,99,0.02,1
1,100,0.03,1
2,1,0.07,0
2,2,0.01,1
2,3,0.24,0
2,4,0.01,1
2,5,0.04,1
2,6,0.01,1
2,7,0.2,0
2,8,0.05,0
2,9,0.02,1
2,10,0.02,1
2,11,0.02,1
2,12,0.09,0
2,13,0.01,1
2,14,0.02,1
2,15,0.01,1
2,16,0.07,0
2,17,0.01,1
2,18,0.06,0
2,19,0.09,0
2,20,0.11,0
2,21,0.02,1
2,22,0.06,0
2,23,0.22,0
2,24,0.11,0
2,25,0.01,1
2,26,0.01,1
2,27,0.01,1
2,28,0.01,1
2,29,0.04,1
2,30,0.03,1
2,31,0.01,1
2,32,0.05,0
2,33,0.03,1
2,34,0.02,1
2,35,0.08,0
2,36,0.29,0
2,37,0.01,1
2,38,0.05,0
2,39,0.02,1
2,40,0.01,1
2,41,0.01,1
2,42,0.2,0
2,43,0.24,0
2,44,0.01,1
2,45,0.13,0
2,46,0.02,1
2,47,0.03,1
2,48,0.07,0
2,49,0.06,0
2,50,0.21,0
2,51,0.01,1
2,52,0.08,0
2,53,0.01,1
2,54,0.05,0
2,55,0.03,1
2,56,0.02,1
2,57,0.09,0
2,58,0.02,1
2,59,0.01,1
2,60,0.08,0
2,61,0.04,1
2,62,0.03,1
2,63,0.01,1
2,64,0.03,1
2,65,0.14,0
2,66,0.05,0
2,67,0.01,1
2,68,0.02,1
2,69,0.02,1
2,70,0.05,0
2,71,0.02,1
2,72,0.02,1
2,73,0.02,1
2,74,0.01,1
2,75,0.11,0
2,76,0.01,1
2,77,0.01,1
2,78,0.01,1
2,79,0.02,1
2,80,0.32,0
2,81,0.1,0
2,82,0.28,0
2,83,0.09,0
2,84,0.05,0
2,85,0.04,1
2,86,0.03,1
2,87,0.04,1
2,88,0.02,1
2,89,0.01,1
2,90,0.03,1
2,91,0.2,0
2,92,0.01,1
2,93,0.04,1
2,94,0.02,1
2,95,0.37,0
2,96,0.01,1
2,97,0.19,0
2,98,0.02,1
2,99,0.05,0
2,100,0.01,1
