Alpha,Power,Power_rej
0,0.04,0.056
0.0285714285714286,0.082,0.052
0.0571428571428571,0.116,0.08
0.0857142857142857,0.228,0.156
0.114285714285714,0.392,0.244
0.142857142857143,0.542,0.384
0.171428571428571,0.68,0.524
0.2,0.78,0.638
0.228571428571429,0.882,0.75
0.257142857142857,0.946,0.838
0.285714285714286,0.982,0.91
0.314285714285714,0.992,0.956
0.342857142857143,1,0.984
0.371428571428571,1,0.986
0.4,1,0.998
0.44137931,1,1
0.46896552,1,1
0.49655172,1,1
0.52413793,1,1
0.55172414,1,1
0.57931034,1,1
0.60689655,1,1
0.63448276,1,1
0.66206897,1,1
0.68965517,1,1
0.71724138,1,1
0.74482759,1,1
0.77241379,1,1
0.8,1,1
