"Alpha","Power_V","Power_U","Power_D"
0,0.0378000000000001,0.0404,0.0394
0.0285714285714286,0.0582000000000002,0.0553999999999998,0.0425999999999999
0.0571428571428571,0.1244,0.1184,0.0394
0.0857142857142857,0.2284,0.2228,0.0462000000000004
0.114285714285714,0.3782,0.3622,0.0446
0.142857142857143,0.5356,0.5266,0.0483999999999995
0.171428571428571,0.6928,0.6906,0.0536
0.2,0.823,0.8088,0.0514
0.228571428571429,0.9074,0.904,0.056
0.257142857142857,0.9538,0.9526,0.0572000000000001
0.285714285714286,0.9792,0.9794,0.0588000000000001
0.314285714285714,0.9926,0.992,0.0593999999999999
0.342857142857143,0.9988,0.9982,0.0628000000000002
0.371428571428571,0.9996,0.9994,0.0736
0.4,1,1,0.0726000000000003
